Process Name,Count
System Idle Process,1
System,1
,1
Registry,1
chrome.exe,43
smss.exe,1
csrss.exe,2
wininit.exe,1
lsass.exe,1
winlogon.exe,1
services.exe,1
LsaIso.exe,1
svchost.exe,95
NisSrv.exe,1
WUDFHost.exe,4
fontdrvhost.exe,2
msedge.exe,31
dwm.exe,1
ipf_helper.exe,1
SenseTVM.exe,1
Code.exe,15
IntelCpHDCPSvc.exe,1
mongod.exe,1
conhost.exe,13
ZSAService.exe,1
TbtP2pShortcutService.exe,1
ACCSvc.exe,1
RstMwService.exe,1
powershell.exe,5
MemCompression,1
ipfsvc.exe,1
ELANFPService.exe,1
ipf_uf.exe,1
MsSense.exe,1
SMSvcHost.exe,1
jhi_service.exe,1
WMIRegistrationService.exe,1
IntelAudioService.exe,1
MsMpEng.exe,1
NgcIso.exe,1
CompPkgSrv.exe,1
wlanext.exe,1
spoolsv.exe,1
rundll32.exe,1
sihost.exe,1
slack.exe,6
dllhost.exe,4
RtkAudUService64.exe,3
OneApp.IGCC.WinService.exe,1
SgrmBroker.exe,1
QASvc.exe,1
SenseCE.exe,1
MoUsoCoreWorker.exe,1
BioIso.exe,1
msedgewebview2.exe,8
SearchIndexer.exe,1
AggregatorHost.exe,1
CmRcService.exe,1
ZSATrayManager.exe,1
WmiPrvSE.exe,7
QAAdminAgent.exe,1
agentmonitor.exe,1
aeagent.exe,1
unsecapp.exe,1
keyacc32.exe,1
taskhostw.exe,3
ctfmon.exe,1
explorer.exe,2
dasHost.exe,2
wsl.exe,3
SCNotification.exe,1
kass.exe,1
ZSATunnel.exe,1
ZSATray.exe,1
StartMenuExperienceHost.exe,1
ZSAUpm.exe,1
RuntimeBroker.exe,9
CalculatorApp.exe,1
QAAgent.exe,1
SecurityHealthSystray.exe,1
SecurityHealthService.exe,1
OneDrive.exe,1
SearchApp.exe,2
python.exe,4
pwahelper.exe,2
TextInputHost.exe,1
uhssvc.exe,1
cmd.exe,1
UserOOBEBroker.exe,1
ApplicationFrameHost.exe,1
SystemSettings.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
CcmExec.exe,1
LockApp.exe,1
ShellExperienceHost.exe,1
Avecto.IC3.Client.Host.exe,1
DefendpointService.exe,1
FileCoAuth.exe,1
audiodg.exe,1
RtkUWP.exe,1
AcerPurifiedVoiceApp.exe,1
pacjsworker.exe,1
SenseNdr.exe,1
ms-teams.exe,1
Microsoft.SharePoint.exe,1
